book,n,n_days,win,mean_ret,ci_lo,ci_hi,sharpe,total_pnl,horizon_d,band
flow_only≥3,2,2.0,1.0,0.36992728125733054,,,27.877684848279436,0.7398545625146611,3,"[0.30,0.70)"
midprice,21,16.0,0.8571428571428571,0.04901570892816483,-0.11198917955018194,0.2103571660627894,0.10928468413283633,1.0293298874914614,3,"[0.70,0.90)"
combo≥1,12,8.0,0.8333333333333334,0.02935629957690124,-0.06286658894118703,0.2553760628124692,0.05984205935882867,0.3522755949228149,3,"[0.70,0.90)"
anti(0 bulls),9,9.0,0.8888888888888888,0.07522825472984958,-0.21062345969329338,0.2552239439199649,0.18210073087908732,0.6770542925686462,3,"[0.70,0.90)"
flow_only≥1,60,26.0,0.4666666666666667,-0.11250294934395236,-0.3609491294210288,0.47880803369504354,-0.10247039948562085,-6.750176960637141,3,"[0.70,0.90)"
midprice,21,16.0,0.8571428571428571,0.04901570892816483,-0.11198917955018194,0.2103571660627894,0.10928468413283633,1.0293298874914614,3,"[0.70,0.90)"
combo≥2,4,3.0,0.75,-0.01563516176654428,-0.31034482758620685,0.3605442176870748,-0.02364320253053091,-0.06254064706617712,3,"[0.70,0.90)"
anti(0 bulls),9,9.0,0.8888888888888888,0.07522825472984958,-0.21062345969329338,0.2552239439199649,0.18210073087908732,0.6770542925686462,3,"[0.70,0.90)"
flow_only≥2,23,13.0,0.5652173913043478,0.06224716061282014,-0.26845459892115625,0.5990610235610501,0.06059147184379147,1.431684694094863,3,"[0.70,0.90)"
midprice,21,16.0,0.8571428571428571,0.04901570892816483,-0.11198917955018194,0.2103571660627894,0.10928468413283633,1.0293298874914614,3,"[0.70,0.90)"
combo≥3,2,2.0,1.0,0.36992728125733054,,,27.877684848279436,0.7398545625146611,3,"[0.70,0.90)"
anti(0 bulls),9,9.0,0.8888888888888888,0.07522825472984958,-0.21062345969329338,0.2552239439199649,0.18210073087908732,0.6770542925686462,3,"[0.70,0.90)"
flow_only≥3,4,3.0,0.75,0.3541116838090512,-0.27007299270072993,1.2471910112359552,0.3686116728415204,1.416446735236205,3,"[0.70,0.90)"
