gecko_id,n_venues,n_clean,n_quoting,depth_2pct_usd,adv_usd_quoting,adv_usd_clean,adv_usd_all,spread_pct,flagged_vol_share
sanctum-2,14.0,13.0,12.0,27415.82716510956,228918.31000000003,228924.67,229262.83000000002,0.6858857420986553,0.0014749883354401305
scallop-2,7.0,4.0,4.0,2197.405750178752,29127.600000000002,29127.600000000002,29907.39,1.235657078628517,0.02607348886011107
shadow-2,9.0,4.0,4.0,2821.909146715115,11034.14,11034.14,17851.629999999997,1.1727700052935708,0.38189733934660297
solblaze,5.0,3.0,3.0,206.55493533573883,61.339999999999996,61.339999999999996,110.46000000000001,0.6998368803390935,0.4446858591345284
soltradingbot,1.0,0.0,0.0,0.0,0.0,0.0,21.89,,1.0
solv-protocol,45.0,39.0,37.0,1073361.4615118187,39852314.05,39911724.51,40198870.434084,0.36576205878948853,0.0071431341473847665
sosovalue,17.0,11.0,10.0,149428.00400518143,3561959.98,3562030.23,4370283.05,0.415275583901462,0.18494289975108136
spell-token,33.0,28.0,27.0,1598208.3511990036,1640683.31,1640724.45,1641994.3099999998,0.2685335166667783,0.0007733644338876466
spookyswap,2.0,1.0,1.0,816.5999978300235,14.72,14.72,20.54,0.612527,0.28334956183057447
stader,25.0,20.0,19.0,44219.08291454597,292004.89,292014.09,398608.06,0.34412277360451055,0.2674154907956452
stake-link,1.0,1.0,1.0,8319.140419401634,3554.85,3554.85,3554.85,0.603584,0.0
stakewise,2.0,1.0,1.0,10035.070408794283,1279.66,1279.66,1411.51,0.603151,0.09341060282959379
