pool,metric,n_follow,rebalance,screen,n_elig,smart_sharpe,anti_sharpe,all_sharpe,smart_pnl,anti_pnl,all_pnl,spread_anti,spread_all
30d,pnl_90d,10,30,on,48,0.3246,0.3246,0.3246,0.4125,0.4125,0.4125,0.0,0.0
30d,pnl_90d,10,30,off,50,0.3246,0.3246,0.3246,0.4125,0.4125,0.4125,0.0,0.0
30d,roi,3,7,on,48,0.2429,0.5393,0.3608,0.2853,0.8803,0.4685,-0.2964,-0.1179
30d,roi,3,7,off,50,0.2429,0.5393,0.3608,0.2853,0.8803,0.4685,-0.2964,-0.1179
30d,roi,3,14,on,48,0.137,0.3593,0.326,0.1593,0.5228,0.4172,-0.2223,-0.189
30d,roi,3,14,off,50,0.137,0.3593,0.326,0.1593,0.5228,0.4172,-0.2223,-0.189
30d,roi,3,30,on,48,0.2116,0.3948,0.3246,0.2377,0.5675,0.4125,-0.1832,-0.113
30d,roi,3,30,off,50,0.2116,0.3948,0.3246,0.2377,0.5675,0.4125,-0.1832,-0.113
30d,roi,5,7,on,48,0.3682,0.4334,0.3608,0.4624,0.6313,0.4685,-0.0652,0.0074
30d,roi,5,7,off,50,0.3682,0.4334,0.3608,0.4624,0.6313,0.4685,-0.0652,0.0074
30d,roi,5,14,on,48,0.3459,0.2788,0.326,0.4306,0.3583,0.4172,0.0671,0.0199
30d,roi,5,14,off,50,0.3459,0.2788,0.326,0.4306,0.3583,0.4172,0.0671,0.0199
30d,roi,5,30,on,48,0.3054,0.3186,0.3246,0.3785,0.4033,0.4125,-0.0132,-0.0192
30d,roi,5,30,off,50,0.3054,0.3186,0.3246,0.3785,0.4033,0.4125,-0.0132,-0.0192
30d,roi,10,7,on,48,0.3218,0.3445,0.3608,0.4068,0.4541,0.4685,-0.0227,-0.039
30d,roi,10,7,off,50,0.3198,0.3445,0.3608,0.4042,0.4541,0.4685,-0.0247,-0.041
30d,roi,10,14,on,48,0.3621,0.2942,0.326,0.4621,0.3787,0.4172,0.0679,0.0361
