,equity
2025-06-23 12:00:00.000,1100.6024002835675
2025-06-24 12:00:00.000,1141.5680590872369
2025-06-24 12:00:00.000,1177.6949367473533
2025-06-25 00:00:00.000,1177.6949367473533
2025-06-30 00:00:00.000,1165.971645321223
2025-06-30 12:00:00.000,1154.1946959537493
2025-06-30 12:00:00.000,1142.471404527619
2025-06-30 12:00:00.000,1171.8104298304918
2025-06-30 23:55:00.000,1231.1373894718186
2025-06-30 23:55:00.000,1219.4140980456882
2025-07-22 00:00:00.000,1219.4140980456882
2025-07-23 00:00:00.000,1219.414098045688
2025-07-25 00:00:00.000,1219.414098045688
2025-07-25 00:00:00.000,1219.414098045688
2025-07-31 00:00:00.000,1207.219957065231
2025-08-01 04:00:00.000,1195.0258160847743
2025-08-12 00:00:00.000,1195.0258160847743
2025-08-12 00:00:00.000,1195.025816084774
2025-08-18 00:00:00.000,1195.0258160847739
2025-08-22 00:00:00.000,1195.025816084774
2025-08-31 00:00:00.000,1255.501364959367
2025-08-31 00:00:00.000,1243.5511067985194
2025-09-07 00:00:00.000,1243.5511067985194
2025-09-07 00:00:00.000,1243.5511067985196
2025-09-09 00:00:00.000,1243.5511067985199
2025-09-17 12:00:00.000,1231.1155957305346
2025-09-17 12:00:00.000,1218.6800846625492
2025-09-19 00:00:00.000,1218.6800846625492
2025-09-21 00:00:00.000,1218.6800846625492
2025-09-25 00:00:00.000,1218.680084662549
2025-09-30 00:00:00.000,1206.4932838159234
2025-09-30 00:00:00.000,1225.5400792491666
2025-09-30 00:00:00.000,1213.353278402541
2025-10-01 00:00:00.000,1201.1664775559157
2025-10-10 00:00:00.000,1201.1664775559157
2025-10-13 00:00:00.000,1201.1664775559157
2025-10-14 00:00:00.000,1201.1664775559154
2025-10-19 00:00:00.000,1215.6413944243677
2025-10-20 00:00:00.000,1215.6413944243675
2025-10-23 00:00:00.000,1215.6413944243675
2025-10-23 00:00:00.000,1215.6413944243675
2025-10-24 00:15:00.000,1243.012237109658
2025-10-26 00:00:00.000,1243.0122371096581
2025-10-26 00:00:00.000,1243.0122371096581
2025-10-26 00:00:00.000,1243.0122371096581
2025-10-27 23:00:00.000,1231.000572334099
2025-10-28 00:00:00.000,1231.000572334099
2025-10-28 00:00:00.000,1231.000572334099
2025-10-28 00:00:00.000,1231.000572334099
2025-10-28 13:00:00.000,1218.5704499630024
2025-10-29 00:00:00.000,1218.5704499630024
2025-10-29 00:00:00.000,1218.5704499630024
2025-10-30 00:00:00.000,1218.5704499630026
2025-10-30 00:00:00.000,1218.5704499630026
2025-10-31 00:00:00.000,1206.414036018759
2025-10-31 00:00:00.000,1194.2576220745152
2025-10-31 00:00:00.000,1194.2576220745152
2025-10-31 00:00:00.000,1194.257622074515
2025-10-31 12:00:00.000,1219.0614342252934
2025-10-31 12:00:00.000,1243.4737323447162
2025-10-31 13:00:00.000,1257.775055932967
2025-11-01 13:00:00.000,1329.628692810096
2025-11-02 00:00:00.000,1329.628692810096
2025-11-03 00:00:00.000,1329.628692810096
2025-11-03 00:00:00.000,1329.628692810096
2025-11-04 00:00:00.000,1317.1985704389995
2025-11-04 00:00:00.000,1317.1985704389995
2025-11-04 12:00:00.000,1305.0128659393695
2025-11-04 12:00:00.000,1292.8271614397395
2025-11-09 00:00:00.000,1378.1270929371497
2025-11-09 00:00:00.000,1378.1270929371497
