Date,AGG,CTA,DBMF,KMLM,NTSX,QLD,QQQ,RSBT,RSSB,RSST,SPY,SSO,TQQQ,UPRO
2023-08-07,86.91033172607422,21.587244033813477,23.904190063476562,28.92694854736328,36.112762451171875,32.628173828125,369.15655517578125,16.93206787109375,,,435.33203125,29.222932815551758,20.420984268188477,47.82713317871094
2023-08-08,87.1170425415039,21.612422943115234,23.904190063476562,28.65316390991211,36.05475616455078,32.058189392089844,366.017822265625,16.851530075073242,,,433.43890380859375,28.968307495117188,19.897869110107422,47.183719635009766
2023-08-09,87.17996215820312,21.780288696289062,23.895549774169922,28.624841690063477,35.78403091430664,31.344459533691406,361.9936218261719,16.93206787109375,,,430.5412902832031,28.571683883666992,19.234283447265625,46.238094329833984
2023-08-10,86.61373138427734,21.71314239501953,23.98191261291504,28.89862823486328,35.590660095214844,31.448543548583984,362.6626892089844,16.951017379760742,,,430.69580078125,28.58147621154785,19.321468353271484,46.228336334228516
2023-08-11,86.34410858154297,21.822250366210938,24.12872314453125,29.219619750976562,35.619659423828125,31.03715705871582,360.3504333496094,16.92259407043457,,,430.4447021484375,28.53740692138672,18.933975219726562,46.14060974121094
2023-08-14,86.28120422363281,21.97332763671875,24.04236602783203,29.23849868774414,35.6583366394043,31.7409725189209,364.3944091796875,16.998394012451172,,,432.8207092285156,28.85079002380371,19.563650131225586,46.852264404296875
2023-08-15,86.04752349853516,22.043834686279297,24.02509117126465,29.432039260864258,35.3779411315918,31.05202865600586,360.5276184082031,16.886587142944336,,,427.77886962890625,28.179956436157227,18.963035583496094,45.272972106933594
2023-08-16,85.84078979492188,21.9565486907959,24.03372573852539,29.446199417114258,34.9525146484375,30.37795066833496,356.7099914550781,16.861003875732422,,,424.6397399902344,27.734363555908203,18.333354949951172,44.20061111450195
2023-08-17,85.75093841552734,21.93136215209961,24.03372573852539,29.59725570678711,34.768802642822266,29.698923110961914,352.8136291503906,16.799415588378906,,,421.4040222167969,27.298566818237305,17.713361740112305,43.1672477722168
2023-08-18,85.93966674804688,21.948150634765625,24.04236602783203,29.455642700195312,34.79782485961914,29.6196231842041,352.3710021972656,16.780466079711914,,,421.60687255859375,27.31815528869629,17.631025314331055,43.186744689941406
2023-08-21,85.50828552246094,21.922971725463867,24.1805362701416,29.67278289794922,34.91384506225586,30.581167221069336,358.0480651855469,16.89890480041504,,,424.34991455078125,27.685396194458008,18.483510971069336,44.04463577270508
2023-08-22,85.59813690185547,21.939756393432617,24.1114501953125,29.587814331054688,34.91384506225586,30.48699378967285,357.5364990234375,16.827842712402344,,,423.2005310058594,27.52381134033203,18.40117073059082,43.66443634033203
2023-08-23,86.416015625,21.318660736083984,23.85237693786621,29.219619750976562,35.33926010131836,31.43863296508789,363.17425537109375,16.662025451660156,,,427.9140625,28.126094818115234,19.2681884765625,45.058502197265625
2023-08-24,86.2182846069336,21.52849006652832,23.904190063476562,29.23849868774414,34.91384506225586,30.055788040161133,355.41119384765625,16.690452575683594,,,421.98358154296875,27.3475341796875,17.9991397857666,43.19649887084961
2023-08-25,86.16435241699219,21.612422943115234,23.999181747436523,29.653900146484375,35.155555725097656,30.546476364135742,358.1661682128906,16.7709903717041,,,424.95849609375,27.71477699279785,18.425386428833008,44.083621978759766
2023-08-28,86.35310363769531,21.486526489257812,23.964637756347656,29.644460678100586,35.2812614440918,31.00741958618164,360.8620910644531,16.780466079711914,,,427.6532897949219,28.06733512878418,18.837099075317383,44.89276885986328
2023-08-29,86.91033172607422,21.40259552001953,23.835102081298828,29.59725570678711,35.86138153076172,32.33573913574219,368.7432861328125,16.74730110168457,,,433.83489990234375,28.875276565551758,20.038331985473633,46.813262939453125
2023-08-30,86.87437438964844,21.23473358154297,23.956003189086914,29.531169891357422,36.016082763671875,32.69260787963867,370.7996826171875,16.75204086303711,,,435.621826171875,29.100515365600586,20.372549057006836,47.407936096191406
2023-08-31,87.00022888183594,21.29348373413086,23.85237693786621,29.389554977416992,36.016082763671875,32.85121154785156,371.91156005859375,16.64781379699707,,,434.9843444824219,28.9927921295166,20.556608200073242,47.115478515625
2023-09-01,86.54962158203125,21.512548446655273,23.93873405456543,29.663341522216797,35.996742248535156,32.80660629272461,371.5179443359375,16.737829208374023,,,435.795654296875,29.10541534423828,20.483957290649414,47.34944152832031
2023-09-05,86.08100128173828,21.822250366210938,24.163265228271484,30.163711547851562,35.77436065673828,32.8660774230957,371.9902648925781,16.87521743774414,,,433.9121398925781,28.84589385986328,20.537233352661133,46.75477600097656
